,volatility,sharpe,max_drawdown,risk
COST,0.015243703555727257,1.0711453413585879,-0.3140243908840089,medium
MDLZ,0.013991114751039884,0.42236061275306425,-0.29741955312991486,medium
CL,0.013191095442310808,0.43070705713687457,-0.22572712058822642,medium
KHC,0.01700248220614432,0.22003977639019218,-0.3569186723792266,medium
KR,0.017823530542403463,0.7998746682157876,-0.3107247830766573,medium
TAP,0.01951609530902075,0.1922885533046031,-0.43108374000661853,medium
JPM,0.020257181638398868,0.6588594209497431,-0.4362652169164616,medium
BAC,0.02227867856415325,0.3913300969549649,-0.48946815866780913,medium
GS,0.021083497734587453,0.8369606247613856,-0.45620992925529924,medium
MS,0.02257159645842267,0.7702801757760686,-0.5132582362808844,medium
C,0.024560916909422456,0.35614888165797587,-0.5650757332438463,medium
WFC,0.02428388351599654,0.4507483660077844,-0.5927555757186418,medium
SCHW,0.023853911393059216,0.554380126164637,-0.4970344855296902,medium
USB,0.0235770722816691,0.17715322185275925,-0.5213488927999868,medium
TFC,0.02591123045977849,0.2097085489736992,-0.5911312581857033,medium
PGR,0.017224133703022063,1.0191057136732844,-0.22907783998927844,medium
UNH,0.02082428526509099,0.1972650192265481,-0.5576501635001014,medium
JNJ,0.012593105996405146,0.34410608571378837,-0.2736624957195164,medium
PFE,0.01714810593071156,0.024110291793743355,-0.589619963131795,medium
MRK,0.015368876388601732,0.18027403187292065,-0.4344339759185941,medium
LLY,0.021190685123478922,1.152607986725439,-0.25252389465067426,medium
ABT,0.01643003704734944,0.44540180216953096,-0.3387675264955621,medium
TMO,0.017997502725402664,0.30328351286018496,-0.40954293465478087,medium
CVS,0.019593264004748076,0.15329519975216885,-0.5678882900828973,medium
CI,0.020957727428175903,0.40837618964789585,-0.415498535707844,medium
BMY,0.015286473430686636,0.05664239568696812,-0.47667347645146896,medium
GE,0.024585475671933667,0.8977312651535023,-0.5824124018684436,medium
UPS,0.019374166121380886,0.17745840297435447,-0.5477048002549586,medium
FDX,0.02349953357316816,0.4209130492213069,-0.5369964584938417,medium
MMM,0.018857686887107417,0.2867784293573958,-0.5407281721935002,medium
BA,0.03172175274719897,0.11966961849286722,-0.7249236475234284,high
CAT,0.02046702734278625,0.7921189366012776,-0.38554247977438505,medium
DE,0.020717979043647347,0.7783129315962265,-0.37415543388640304,medium
LMT,0.016562034199778593,0.33727962929090743,-0.3667430059832649,medium
NOC,0.017563750090380813,0.4440775653773147,-0.29627093723435294,medium
ETN,0.02145827570306543,0.9540540760324088,-0.44553550507821504,medium
XOM,0.021268632213507076,0.5331682544269913,-0.5500492243499244,medium
CVX,0.022034732645020705,0.4130775286365234,-0.5482688262480302,medium
COP,0.027506598623525544,0.44270727052414705,-0.6565816149181727,medium
PSX,0.02691171133866347,0.35937222691911996,-0.6210914063090016,medium
SLB,0.030476887874550617,0.22144858338307866,-0.700441210312474,high
EOG,0.028811869608574386,0.46981663693911224,-0.665593640133435,medium
